Year,AgeRange,MarriageRate,DivorceRate
1987,70-74,2.339780738553113,0.029377805234263032
1988,70-74,2.4793223842690946,1.3701368678720176
1989,70-74,2.1574746272071867,0.6940925574951284
1990,70-74,2.5574318176735384,0.9587638289646294
1991,70-74,2.4357991268379617,0.4880581371294352
1992,70-74,2.153400595816379,0.6158635478754755
1993,70-74,2.603302738636474,0.7261116681030364
1994,70-74,2.983127389753583,0.7069729097054048
1995,70-74,2.629620968022324,0.8367984264385797
1996,70-74,2.596614259001263,0.7391213985991815
1997,70-74,2.3770659133055285,1.122959788717214
1998,70-74,3.1296541554538813,0.8046850592432949
1999,70-74,2.4306795037177755,1.0758680038263104
2000,70-74,1.847089224958856,1.3282227105822435
2001,70-74,2.654654190238823,0.6997980601119497
2002,70-74,2.7418469192551083,1.0334410908172444
2003,70-74,2.5671359348104446,0.19531456376782919
2004,70-74,2.948575388873218,1.3284220940979992
2005,70-74,2.600324319707551,0.890608962275578
2006,70-74,3.065877020354293,0.7587407475640303
2007,70-74,3.0215067931963486,0.4172722388349087
2008,70-74,3.3899804068300634,1.1744997871044465
2009,70-74,2.801695062670144,1.0100198298871237
2010,70-74,2.607479999263615,0.6196743822117358
2011,70-74,3.0104164384692154,0.2957712867488676
2012,70-74,2.939106239169733,0.6633397877157055
2013,70-74,2.648091839003114,0.7682088897008288
2014,70-74,2.838066082632593,0.7476918570027495
2015,70-74,3.258298375328451,0.34161988883584016
2016,70-74,2.9830806954353264,0.9191743108107703
2017,70-74,2.3597491296269615,0.5385511463159351
2018,70-74,3.516164714486102,0.5909407108948912
2019,70-74,3.085873930007387,0.25105107855569947
2020,70-74,3.177418273069219,0.5305650861447961
1970,75-79,1.6031146104001346,0.7487134721050728
1971,75-79,1.7033220168939476,0.18361988170599142
1972,75-79,2.1975300733719303,0.9053010581751715
1973,75-79,2.0223609184609623,0.9796751142900342
1974,75-79,1.7301696904477524,0.8860737371942177
1975,75-79,2.5599982252848172,0.8049865228660776
1976,75-79,1.8916593214773783,0.8883795883612112
1977,75-79,2.2591632736011458,1.0924928680318193
1978,75-79,2.0967652745180785,0.7568815740068022
1979,75-79,2.2772451244087,0.5562191171193605
1980,75-79,2.657440031380783,0.7475829973693244
1981,75-79,2.3968265368379695,1.0063243175831456
1982,75-79,1.9939768026744833,0.7728660332921374
1983,75-79,2.5819856380726196,0.3862837942312981
1984,75-79,2.0838164316145193,1.3025280311666056
1985,75-79,2.6859529260452635,1.3824506962172909
1986,75-79,2.9730147452708025,0.6986445363684287
1987,75-79,1.575316271673085,0.47393086085521874
1988,75-79,2.053207532368405,1.3794526666408222
1989,75-79,1.952095412806187,0.36787993164218824
1990,75-79,2.5057617619319257,0.5665933707139135
1991,75-79,2.3077047964795496,1.0592244241674669
1992,75-79,2.3643242673825364,0.5018406127312784
1993,75-79,1.9438109546153262,0.7872546625026859
1994,75-79,1.8521896497537353,0.6167820852759163
1995,75-79,2.530331870042014,0.5580991680565959
1996,75-79,2.568432190332237,0.6817884592728728
1997,75-79,2.7145768795958976,0.5775403321971888
1998,75-79,2.8244495298872137,0.5985863811736482
1999,75-79,2.3395490958120293,1.0635719789835951
2000,75-79,2.4899550851372654,1.1387990731659392
2001,75-79,2.7087670688274796,0.5173255504875656
2002,75-79,2.647644178652237,0.95141407878111806
2003,75-79,2.3998535877004303,0.6335897076642814
2004,75-79,2.447753966823102,0.3699256975414943
2005,75-79,2.9997825743406215,0.7842131468029224
2006,75-79,2.9318504479882956,0.9055813548350465
2007,75-79,3.137167141449525,0.7129117868780311
2008,75-79,2.1955543431284896,0.4653332767597696
2009,75-79,2.973543158481956,1.1076517224763105
2010,75-79,2.6015675767494018,0.5718974332567808
2011,75-79,2.7351177287249233,1.0034519378741993
2012,75-79,2.52331653774105,0.35065040016591353
2013,75-79,3.1174812894201125,0.9473521870379512
2014,75-79,2.4098606553166655,0.43796626331160027
2015,75-79,2.500864973420477,0.2661478438527962
2016,75-79,3.073026854429924,1.0546217292120352
2017,75-79,3.1207849412317517,1.0519255246800585
2018,75-79,2.409300480518943,0.27555820720050617
2019,75-79,2.7529049775209375,0.8551961940721425
2020,75-79,2.647954081504378,0.4404047142487586
1970,over 80,2.30388078403064,0.7929097777637301
1971,over 80,2.2581150315128036,1.4131883194503325
1972,over 80,1.9116193924029985,0.5157272403271892
1973,over 80,1.7844248707218031,1.2913721676635093
1974,over 80,2.0432104277275505,0.8068687779301176
1975,over 80,1.978922657797592,0.748246123964952
1976,over 80,1.8296797112421501,0.6195167876862874
1977,over 80,2.614336247076342,0.899880859456207
1978,over 80,2.404060304761628,1.2322226887857581
1979,over 80,2.3050214266518063,0.6886389018976552
1980,over 80,2.3648370796938374,1.14739219032889
1981,over 80,1.89665217462814,0.5861735943468369
1982,over 80,2.0017056161917015,0.24006996578763679
1983,over 80,2.4775879510201815,1.3727798716189
1984,over 80,2.548691400553543,0.45453177244451465
1985,over 80,2.5091352973788115,0.92382871226032
1986,over 80,1.9866000058175284,0.9886248482623321
1987,over 80,2.2148708053440087,0.662308781524531
1988,over 80,2.41852427305672,1.1340216394645681
1989,over 80,1.9731086330908743,0.7049863535261854
1990,over 80,2.099882542822966,0.03890860129377516
1991,over 80,2.2327181723956433,1.1701806501435845
1992,over 80,2.5902166774744533,0.21478862866161486
1993,over 80,2.6233759991365644,1.2018299257972418
1994,over 80,3.1343022536787206,0.4870738661784261
1995,over 80,2.2891419839508655,0.8287623601014849
1996,over 80,2.227132911462376,0.44376810017528223
1997,over 80,2.377285898621796,0.7723965779546005
1998,over 80,2.7661970972689693,0.7387237441580763
1999,over 80,2.3512392610025334,0.8634442416211854
2000,over 80,2.2805152712858376,0.7578327930548459
2001,over 80,1.9843423219115994,0.2775146070551797
2002,over 80,3.3585489986463726,1.2981981974075003
2003,over 80,2.9090878949240615,1.1716982974296621
2004,over 80,2.753159941244844,0.8246509382668854
2005,over 80,2.30036253505325,0.6679918185470206
2006,over 80,2.7190744721565245,0.6964862983413819
2007,over 80,3.2241128901305984,1.3678620676623559
2008,over 80,2.2968419496571317,0.6102136987291402
2009,over 80,3.0759575692410075,0.8393847303083599
2010,over 80,2.636613739868835,0.588880923617195
2011,over 80,2.694905395494086,1.5923945491861922
2012,over 80,2.6298445179640875,0.7886104442684099
2013,over 80,2.893506577381725,1.3758463239364662
2014,over 80,2.8285832335381365,0.6993616564539192
2015,over 80,2.6579250197111115,0.39967670106152553
2016,over 80,3.207519676167706,0.5676419885695019
2017,over 80,3.3056860427602186,1.3606754698663017
2018,over 80,3.459754567895374,0.677050720255223
2019,over 80,2.6955871468574215,0.5566363825416565
2020,over 80,3.4497968338080867,0.77066533013818594
