REF_DATE,GEO,DGUID,Legal marital status prior to marriage,Gender,Age at marriage,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,32.2,,,,1
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,30.1,,,,1
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,26.8,,,,1
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,25.6,,,,1
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,24.3,,,,1
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,22.8,,,,1
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,22.3,,,,1
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,22.2,,,,1
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,21.4,,,,1
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,20.5,,,,1
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,19.4,,,,1
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,18.0,,,,1
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,16.8,,,,1
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,15.9,,,,1
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,14.7,,,,1
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,14.6,,,,1
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,14.1,,,,1
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,13.6,,,,1
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,13.0,,,,1
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,13.1,,,,1
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,13.0,,,,1
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,10.0,,,,1
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,113598,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,106566,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,101775,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,100956,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,99654,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,97407,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,95412,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,95298,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,96627,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,95457,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88977,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88845,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,87039,,,,0
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,86724,,,,0
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,86730,,,,0
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88659,,,,0
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88404,,,,0
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88839,,,,0
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,89316,,,,0
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88521,,,,0
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,87345,,,,0
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88914,,,,0
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,86001,,,,0
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,89238,,,,0
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88707,,,,0
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,89115,,,,0
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88455,,,,0
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,88581,,,,0
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,84651,,,,0
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Number of persons who married,Number,223,units,0,v1446864978,1.1.1.4.1,57072,,,,0
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,83.1,,,,1
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,78.3,,,,1
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,75.7,,,,1
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,75.7,,,,1
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,74.7,,,,1
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,72.0,,,,1
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,70.2,,,,1
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,69.9,,,,1
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,70.5,,,,1
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,68.8,,,,1
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,63.0,,,,1
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,61.7,,,,1
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,59.3,,,,1
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,57.7,,,,1
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,56.3,,,,1
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,56.0,,,,1
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,54.3,,,,1
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,53.0,,,,1
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,51.7,,,,1
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,50.1,,,,1
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,48.8,,,,1
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,49.0,,,,1
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,46.8,,,,1
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,47.7,,,,1
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,46.6,,,,1
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,45.7,,,,1
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,44.5,,,,1
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,43.5,,,,1
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,40.8,,,,1
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,25 to 29 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864979,1.1.1.4.2,27.3,,,,1
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,56820,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57723,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,58188,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,59070,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,60765,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,59238,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57402,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,56544,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57759,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,58770,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,55404,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,56415,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57492,,,,0
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,56691,,,,0
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57666,,,,0
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,58587,,,,0
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,57621,,,,0
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,58191,,,,0
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,58905,,,,0
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,59844,,,,0
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,60966,,,,0
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,63057,,,,0
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,63066,,,,0
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,66603,,,,0
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,68364,,,,0
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,69003,,,,0
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,69270,,,,0
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,70107,,,,0
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,67920,,,,0
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Number of persons who married,Number,223,units,0,v1446864980,1.1.1.5.1,46245,,,,0
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,60.9,,,,1
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,59.1,,,,1
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,56.9,,,,1
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,55.6,,,,1
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,55.5,,,,1
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,53.7,,,,1
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,52.7,,,,1
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,53.1,,,,1
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,55.3,,,,1
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,56.7,,,,1
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,52.9,,,,1
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,53.5,,,,1
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,54.3,,,,1
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,53.4,,,,1
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,53.9,,,,1
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,54.2,,,,1
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,52.1,,,,1
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,51.1,,,,1
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,50.0,,,,1
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,49.1,,,,1
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,48.4,,,,1
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,48.9,,,,1
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,47.9,,,,1
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,49.6,,,,1
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,50.5,,,,1
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,50.2,,,,1
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,50.0,,,,1
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,49.9,,,,1
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,47.3,,,,1
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,30 to 34 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864981,1.1.1.5.2,31.5,,,,1
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,28188,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,28284,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,28782,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,29808,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,31206,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,32211,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,32259,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,33012,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,34563,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,35946,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,32733,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,32952,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,35 to 39 years,Number of persons who married,Number,223,units,0,v1446864982,1.1.1.6.1,32289,,,,0
